Fly_Number,file_name,Letter,Sex,Temp,temp_room,Species,Mass,mass_dif
D32_59,D32,D,F,L,21.1,PAN,0.212,0.19000000000000003
D32_59,D32,D,F,L,21.1,PAL,0.402,0.19000000000000003
D32_60,D32,D,F,L,21.1,PAN,NA,NA
D32_60,D32,D,F,L,21.1,PAL,NA,NA
D33_61,D33,D,M,L,21.1,PAN,0.243,0.181
D33_61,D33,D,M,L,21.1,PAL,0.424,0.181
D33_62,D33,D,M,L,21.1,PAN,0.17,-0.17
D33_62,D33,D,M,L,21.1,PAL,NA,-0.17
D33_63,D33,D,M,L,21.1,PAN,0.158,0.11500000000000002
D33_63,D33,D,M,L,21.1,PAL,0.273,0.11500000000000002
D33_64,D33,D,M,L,21.1,PAN,0.191,0.126
D33_64,D33,D,M,L,21.1,PAL,0.317,0.126
D33_65,D33,D,M,L,21.1,PAN,NA,NA
D33_65,D33,D,M,L,21.1,PAL,NA,NA
D33_66,D33,D,M,L,21.1,PAN,0.193,-0.193
D33_66,D33,D,M,L,21.1,PAL,NA,-0.193
D34_67,D34,D,F,L,21.3,PAN,0.23,0.216
D34_67,D34,D,F,L,21.3,PAL,0.446,0.216
