Fly_Number,Letter,Temp,Sex,temp_room,bouts,mass_dif,TTBouts,resolved,loses,draws,wins,Species,Mass
D34_67,D,L,F,21.3,6,0.216,900.002,1,0,5,1,PAL,0.446
D34_68,D,L,F,21.3,1,0.24500000000000002,6.005,0,0,1,0,PAL,0.449
D34_70,D,L,F,21.3,14,0.252,897.343,1,0,13,1,PAL,0.455
A11_4,A,M,F,24.6,4,0.22000000000000003,457.944,3,0,1,3,PAL,0.462
A12_10,A,M,M,24.6,7,0.146,734.46,2,1,5,1,PAL,0.311
A12_7,A,M,M,24.6,1,0.15300000000000002,357.931,1,1,0,0,PAL,0.327
A12_8,A,M,M,24.6,4,0.162,646.88,2,0,2,2,PAL,0.324
A12_9,A,M,M,24.6,5,0.127,706.879,3,2,2,1,PAL,0.303
A13_14,A,M,F,24.6,2,0.28800000000000003,387.357,1,0,1,1,PAL,0.527
A13_16,A,M,F,24.6,3,0.22099999999999997,895.876,0,0,3,0,PAL,0.424
A13_18,A,M,F,24.6,15,0.22799999999999998,870.353,1,1,14,0,PAL,0.5
A21_28,A,L,F,20.9,4,0.453,415.879,2,1,2,1,PAL,0.453
A21_29,A,L,F,20.9,3,0.30300000000000005,725.934,1,0,2,1,PAL,0.508
A22_33,A,L,M,21.6,10,0.3,753.473,1,0,9,1,PAL,0.3
A22_34,A,L,M,21.6,5,-0.155,725.708,1,1,4,0,PAL,0
A22_35,A,L,M,21.6,3,0.142,796.028,1,0,2,1,PAL,0.308
A22_36,A,L,M,21.6,22,0.152,865.094,3,0,19,3,PAL,0.311
A31_42,A,H,F,30.4,4,0.22300000000000003,488.97,1,0,3,1,PAL,0.463
A32_47,A,H,M,30.3,20,0.16700000000000004,891.129,11,0,9,11,PAL,0.339
B11_3,B,H,M,30.2,5,0.13799999999999998,829.565,2,2,3,0,PAL,0.304
B11_4,B,H,M,30.2,1,0.11499999999999999,682.413,0,0,1,0,PAL,0.293
B12_7,B,H,F,30.2,5,0.26999999999999996,850.333,3,2,2,1,PAL,0.566
B21_14,B,L,M,20.9,4,0.14600000000000002,828.036,3,0,1,3,PAL,0.332
B22_19,B,L,F,21.2,10,0.34199999999999997,597.85,3,1,7,2,PAL,0.599
B22_20,B,L,F,21.2,0,0.33399999999999996,0,0,0,0,0,PAL,0.58
C11_2,C,L,F,20.9,10,0.21700000000000003,880.61,1,0,9,1,PAL,0.459
C11_3,C,L,F,20.9,7,0.25200000000000006,357.843,1,1,6,0,PAL,0.545
C12_10,C,L,M,20.9,15,0.124,900.003,9,1,6,8,PAL,0.299
C12_11,C,L,M,20.9,6,0.173,898.347,2,0,4,2,PAL,0.347
C12_7,C,L,M,20.9,2,0.10000000000000003,727.206,1,0,1,1,PAL,0.279
C13_14,C,L,F,20.9,6,0.537,810.293,4,1,2,3,PAL,0.537
C13_16,C,L,F,20.9,12,0.189,532.499,2,0,10,2,PAL,0.475
C13_17,C,L,F,20.9,11,0.256,849.102,4,2,7,2,PAL,0.516
C13_18,C,L,F,20.9,0,0.24499999999999997,0,0,0,0,0,PAL,0.474
C14_19,C,L,M,20.9,5,0.155,779.263,2,0,3,2,PAL,0.307
C14_22,C,L,M,20.9,9,0.10600000000000004,832.564,4,0,5,4,PAL,0.28
C14_24,C,L,M,20.9,4,0.344,600.351,4,0,0,4,PAL,0.344
C21_25,C,H,F,30,1,0.321,454.422,0,0,1,0,PAL,0.523
C21_26,C,H,F,30,0,0.22199999999999998,0,0,0,0,0,PAL,0.487
C21_30,C,H,F,30,8,0.32599999999999996,660.848,1,0,7,1,PAL,0.585
C22_36,C,H,M,30,0,0.146,0,0,0,0,0,PAL,0.317
C23_38,C,H,F,30,3,0.29600000000000004,809.029,1,0,2,1,PAL,0.547
C23_42,C,H,F,30,0,0.2869999999999999,0,0,0,0,0,PAL,0.568
C24_44,C,H,M,30,3,0.10799999999999998,774.984,0,0,3,0,PAL,0.284
C24_46,C,H,M,30,4,0.182,405.657,0,0,4,0,PAL,0.359
C31_50,C,M,F,25,10,0.555,895.129,3,0,7,3,PAL,0.555
C31_52,C,M,F,25,6,0.29999999999999993,583.816,2,1,4,1,PAL,0.571
C32_55,C,M,M,25,7,0.12799999999999997,872.106,2,1,5,1,PAL,0.293
C32_60,C,M,M,25,4,0.20900000000000002,879.867,0,0,4,0,PAL,0.381
C33_63,C,M,F,25,10,0.32299999999999995,887.623,2,0,8,2,PAL,0.582
C34_70,C,M,M,25,0,0.14200000000000002,0,0,0,0,0,PAL,0.331
D12_10,D,M,F,25.3,11,0.267,854.091,1,0,10,1,PAL,0.492
D12_7,D,M,F,25.3,9,0.14800000000000002,857.844,3,0,6,3,PAL,0.405
D12_8,D,M,F,25.3,14,0.05199999999999999,601.081,2,2,12,0,PAL,0.291
D13_14,D,M,M,25.1,17,0.155,892.875,1,0,16,1,PAL,0.318
D13_16,D,M,M,25.1,15,0.13799999999999998,863.842,1,0,14,1,PAL,0.302
D14_20,D,M,F,25.3,0,0.183,0,0,0,0,0,PAL,0.428
D14_24,D,M,F,25.3,18,0.293,833.317,5,1,13,4,PAL,0.486
D21_26,D,H,M,30.6,0,0.10300000000000001,0,0,0,0,0,PAL,0.256
D21_30,D,H,M,30.6,6,0.12800000000000003,851.833,0,0,6,0,PAL,0.281
D22_32,D,H,F,30.2,2,0.19299999999999998,459.436,0,0,2,0,PAL,0.418
D22_34,D,H,F,30.2,0,0.11800000000000005,0,0,0,0,0,PAL,0.402
D23_39,D,H,M,30.3,8,0.08900000000000002,870.343,0,0,8,0,PAL,0.265
D23_42,D,H,M,30.3,6,0.07600000000000001,894.594,1,1,5,0,PAL,0.248
D24_44,D,H,F,30.3,2,0.161,609.586,2,0,0,2,PAL,0.37
D24_46,D,H,F,30.3,5,0.215,877.614,3,3,2,0,PAL,0.448
D24_47,D,H,F,30.3,7,0.19599999999999998,791.513,0,0,7,0,PAL,0.417
D24_48,D,H,F,30.3,4,0.137,882.619,1,0,3,1,PAL,0.323
D31_53,D,L,M,20.6,6,0.064,881.373,4,0,2,4,PAL,0.246
D31_54,D,L,M,20.6,3,0.14200000000000002,900.003,0,0,3,0,PAL,0.317
D32_56,D,L,F,21.1,2,0.496,874.351,2,0,0,2,PAL,0.496
D32_57,D,L,F,21.1,9,0.07699999999999999,885.844,6,0,3,6,PAL,0.307
D32_58,D,L,F,21.1,17,0.221,751.486,2,1,15,1,PAL,0.443
D32_60,D,L,F,21.1,10,0,792.03,7,0,3,7,PAL,0
D33_62,D,L,M,21.1,6,-0.17,750.986,3,0,3,3,PAL,0
D33_64,D,L,M,21.1,8,0.126,759.98,2,0,6,2,PAL,0.317
D33_65,D,L,M,21.1,5,0,855.839,1,1,4,0,PAL,0
D34_69,D,L,F,21.3,7,0.16199999999999998,709.176,0,0,7,0,PAL,0.413
A11_5,A,M,F,24.6,2,0.432,19.415,1,0,1,1,PAL,0.432
C14_20,C,L,M,20.9,8,0.169,898.843,2,0,6,2,PAL,0.336
A31_40,A,H,F,30.4,8,0.259,667.438,3,0,5,3,PAL,0.474
D22_36,D,H,F,30.2,10,0.18,814.053,3,1,7,2,PAL,0.415
D32_55,D,L,F,21.1,8,0.277,473.753,2,0,6,2,PAL,0.496
D32_59,D,L,F,21.1,17,0.19000000000000003,873.111,6,0,11,6,PAL,0.402
A31_39,A,H,F,30.4,1,0.232,260.752,0,0,1,0,PAL,0.451
B12_6,B,H,F,30.2,2,0.23,667.659,1,0,1,1,PAL,0.435
D31_49,D,L,M,20.6,1,0.12300000000000003,493.003,1,0,0,1,PAL,0.281
A21_26,A,L,F,20.9,3,0.30600000000000005,878.351,2,0,1,2,PAL,0.524
D22_35,D,H,F,30.2,2,0.20500000000000002,448.692,1,0,1,1,PAL,0.466
B11_1,B,H,M,30.2,0,0.218,0,0,0,0,0,PAL,0.371
D23_40,D,H,M,30.3,3,0.11499999999999996,369.4,0,0,3,0,PAL,0.283
